model,arm,base,budget,task,score
qwen3_8b,base,laprox,128,multifieldqa_en,51.66
qwen3_8b,base,laprox,128,musique,28.84
qwen3_8b,base,laprox,128,narrativeqa,19.23
qwen3_8b,base,laprox,128,passage_count,2.50
qwen3_8b,base,laprox,128,passage_retrieval_en,97.00
qwen3_8b,base,laprox,128,qasper,32.58
qwen3_8b,base,laprox,128,qmsum,20.89
qwen3_8b,base,laprox,128,repobench,58.89
qwen3_8b,base,laprox,128,samsum,39.70
qwen3_8b,base,laprox,128,trec,56.00
qwen3_8b,base,laprox,128,triviaqa,89.70
qwen3_8b,base,lava,128,2wikimqa,39.86
qwen3_8b,base,lava,128,gov_report,18.77
qwen3_8b,base,lava,128,hotpotqa,56.42
qwen3_8b,base,lava,128,lcc,65.96
qwen3_8b,base,lava,128,multi_news,16.59
qwen3_8b,base,lava,128,multifieldqa_en,47.98
qwen3_8b,base,lava,128,musique,27.42
qwen3_8b,base,lava,128,narrativeqa,19.98
qwen3_8b,base,lava,128,passage_count,5.00
qwen3_8b,base,lava,128,passage_retrieval_en,99.00
qwen3_8b,base,lava,128,qasper,32.80
qwen3_8b,base,lava,128,qmsum,21.08
qwen3_8b,base,lava,128,repobench,59.55
qwen3_8b,base,lava,128,samsum,39.09
qwen3_8b,base,lava,128,trec,53.00
qwen3_8b,base,lava,128,triviaqa,88.75
qwen3_8b,base,rkv,128,2wikimqa,39.17
qwen3_8b,base,rkv,128,gov_report,20.28
qwen3_8b,base,rkv,128,hotpotqa,55.14
qwen3_8b,base,rkv,128,lcc,62.95
qwen3_8b,base,rkv,128,multi_news,17.25
qwen3_8b,base,rkv,128,multifieldqa_en,44.09
qwen3_8b,base,rkv,128,musique,28.58
qwen3_8b,base,rkv,128,narrativeqa,19.96
qwen3_8b,base,rkv,128,passage_count,4.00
qwen3_8b,base,rkv,128,passage_retrieval_en,59.50
qwen3_8b,base,rkv,128,qasper,33.51
qwen3_8b,base,rkv,128,qmsum,20.65
qwen3_8b,base,rkv,128,repobench,56.60
qwen3_8b,base,rkv,128,samsum,39.57
qwen3_8b,base,rkv,128,trec,66.00
qwen3_8b,base,rkv,128,triviaqa,88.33
qwen3_8b,base,snapkv,128,2wikimqa,40.38
qwen3_8b,base,snapkv,128,gov_report,17.36
qwen3_8b,base,snapkv,128,hotpotqa,55.30
qwen3_8b,base,snapkv,128,lcc,64.41
qwen3_8b,base,snapkv,128,multi_news,16.05
qwen3_8b,base,snapkv,128,multifieldqa_en,46.25
qwen3_8b,base,snapkv,128,musique,26.03
qwen3_8b,base,snapkv,128,narrativeqa,18.79
qwen3_8b,base,snapkv,128,passage_count,3.00
qwen3_8b,base,snapkv,128,passage_retrieval_en,97.00
qwen3_8b,base,snapkv,128,qasper,31.13
qwen3_8b,base,snapkv,128,qmsum,20.43
qwen3_8b,base,snapkv,128,repobench,58.12
qwen3_8b,base,snapkv,128,samsum,38.71
qwen3_8b,base,snapkv,128,trec,52.00
qwen3_8b,base,snapkv,128,triviaqa,88.93
qwen3_8b,dense,,0,2wikimqa,43.29
qwen3_8b,dense,,0,gov_report,33.60
qwen3_8b,dense,,0,hotpotqa,58.93
qwen3_8b,dense,,0,lcc,69.05
qwen3_8b,dense,,0,multi_news,24.83
qwen3_8b,dense,,0,multifieldqa_en,53.87
qwen3_8b,dense,,0,musique,35.26
qwen3_8b,dense,,0,narrativeqa,26.36
qwen3_8b,dense,,0,passage_count,2.00
qwen3_8b,dense,,0,passage_retrieval_en,100.00
qwen3_8b,dense,,0,qasper,48.26
qwen3_8b,dense,,0,qmsum,23.99
qwen3_8b,dense,,0,repobench,65.26
qwen3_8b,dense,,0,samsum,44.01
qwen3_8b,dense,,0,trec,71.50
qwen3_8b,dense,,0,triviaqa,90.71
qwen3_8b,rescue,snapkv,128,2wikimqa,40.84
qwen3_8b,rescue,snapkv,128,gov_report,18.50
qwen3_8b,rescue,snapkv,128,hotpotqa,55.25
qwen3_8b,rescue,snapkv,128,lcc,64.15
qwen3_8b,rescue,snapkv,128,multi_news,16.45
qwen3_8b,rescue,snapkv,128,multifieldqa_en,46.87
qwen3_8b,rescue,snapkv,128,musique,27.19
qwen3_8b,rescue,snapkv,128,narrativeqa,20.08
qwen3_8b,rescue,snapkv,128,passage_count,4.00
qwen3_8b,rescue,snapkv,128,passage_retrieval_en,97.00
qwen3_8b,rescue,snapkv,128,qasper,32.41
qwen3_8b,rescue,snapkv,128,qmsum,20.77
qwen3_8b,rescue,snapkv,128,repobench,58.02
qwen3_8b,rescue,snapkv,128,samsum,38.67
qwen3_8b,rescue,snapkv,128,trec,52.50
qwen3_8b,rescue,snapkv,128,triviaqa,88.76
